"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bulgaria","BGR","Population ages 0-14, female","SP.POP.0014.FE.IN","1024060","1017275","1007733","996732","985551","976297","969393","963763","962642","966467","969282","969519","968737","970067","976174","980897","983573","987178","985826","982953","982034","979913","977211","970870","960742","949307","939976","934119","926791","903398","872367","847240","819414","793608","770932","746898","723290","698872","673535","650687","630606","601411","571783","551560","533166","517846","506840","500285","496707","496002","497102","497706","498917","500103","497747","492822","488397","484944","481186","476473","472042","467352","439459","436410",
"Bahrain","BHR","Population ages 0-14, female","SP.POP.0014.FE.IN","32929","34633","36379","38175","40026","41856","43580","45132","46504","47696","48702","49775","51091","52497","53961","55501","57117","58794","60512","62261","64031","65645","67083","68617","70378","72364","74562","76978","79623","82486","85484","88277","90627","92611","94316","95773","96920","97695","98228","98695","99137","99458","99414","99999","102472","105917","109356","112836","116227","119099","121164","121718","120672","122764","129668","135589","139250","142610","145222","146989","147042","146154","145658","144796",
"Bahamas, The","BHS","Population ages 0-14, female","SP.POP.0014.FE.IN","23333","24615","25967","27333","28674","30024","31499","33159","34969","36685","37791","38405","38938","39350","39599","39651","39570","39435","39242","39036","38858","38843","38984","39181","39563","40106","40647","41167","41683","42218","42656","43110","43883","44898","45793","46467","47039","47543","47980","48225","48256","48202","48213","48347","48500","48642","48827","49028","49276","49634","49579","48971","48284","47436","46569","45771","44849","43845","42820","41804","40796","39794","38774","37750",
"Bosnia and Herzegovina","BIH","Population ages 0-14, female","SP.POP.0014.FE.IN","630651","645105","657014","665964","672257","676022","677198","675645","671580","665700","658734","651559","644537","637103","628806","619848","610298","600280","590110","580309","571672","565185","561072","558455","556411","554139","551003","547026","542525","537316","531190","524699","505800","479872","459749","446510","440981","434891","425180","413009","399629","386005","372602","359104","345061","331644","319710","310365","304843","300755","295703","288809","280701","272657","265702","260136","255629","251860","248593","245434","242068","238489","234790","230854",
"Belarus","BLR","Population ages 0-14, female","SP.POP.0014.FE.IN","1247713","1276088","1298287","1311488","1315472","1314178","1310605","1304485","1295098","1281530","1264412","1245661","1225423","1203441","1180838","1157640","1134541","1114728","1100676","1092918","1091490","1095377","1102563","1112991","1124693","1135263","1146351","1157122","1162910","1167659","1167719","1162058","1154473","1142549","1121884","1094783","1064083","1028676","989672","950513","912082","872128","831568","793385","759006","730569","708922","694302","687052","687602","693468","701937","713675","727530","741322","754346","765737","772810","774812","774592","772333","765932","756917","746358",
"Belize","BLZ","Population ages 0-14, female","SP.POP.0014.FE.IN","20346","21101","21919","22829","23811","24835","25889","26954","27993","28922","29524","29871","30167","30421","30666","30962","31298","31609","31925","32299","32776","33302","33859","34516","35295","36127","36909","37645","38380","39109","39793","40429","41015","41552","42099","42750","43520","44364","45249","46139","47027","48051","49212","50361","51496","52604","53643","54594","55455","56186","56472","56410","56372","56330","56265","56175","56086","56037","56051","55936","55577","55199","54913","54690",
"Bermuda","BMU","Population ages 0-14, female","SP.POP.0014.FE.IN","7208","7334","7439","7527","7631","7741","7808","7882","7933","7956","7941","7701","7451","7184","6915","6657","6489","6333","6182","6027","5961","5873","5807","5759","5714","5671","5636","5615","5620","5645","5687","5672","5654","5707","5759","5797","5816","5823","5826","5816","5823","5821","5770","5713","5656","5587","5501","5415","5345","5290","5181","5077","5031","4982","4918","4829","4707","4643","4655","4664","4666","4643","4569","4459",
"Bolivia","BOL","Population ages 0-14, female","SP.POP.0014.FE.IN","748936","764682","780826","798167","816829","835960","855361","875280","895694","916509","937631","959108","980848","1002507","1024255","1046347","1068871","1091956","1115492","1139375","1163541","1187957","1212474","1236919","1261455","1286393","1311738","1337598","1363884","1390205","1416511","1442435","1467449","1489709","1509345","1528414","1547338","1565872","1584071","1602390","1619784","1636393","1652158","1666253","1678978","1690565","1702279","1714315","1725997","1737667","1749434","1760842","1771954","1782651","1792147","1800865","1809605","1818128","1825935","1833086","1839805","1845278","1849691","1853909",
"Brazil","BRA","Population ages 0-14, female","SP.POP.0014.FE.IN","16014609","16561787","17088862","17599793","18076633","18521287","18944475","19341616","19711221","20057277","20387806","20704758","21008109","21300791","21577444","21841810","22105420","22373125","22650101","22941500","23255011","23591158","23944668","24309550","24670359","25010107","25319004","25595145","25832674","26033386","26195547","26307092","26365040","26380795","26366543","26326580","26260937","26171493","26067592","25946255","25806123","25653884","25483474","25288296","25090462","24906259","24722438","24531425","24323270","24097160","23860725","23618617","23367112","23100819","22851337","22638487","22427678","22231162","22088356","21950054","21770468","21575261","21388707","21212882",
"Barbados","BRB","Population ages 0-14, female","SP.POP.0014.FE.IN","43621","44115","44714","45170","45529","45721","45693","45510","45167","44668","44027","43282","42456","41560","40605","39596","38561","37566","36684","35926","35236","34609","34099","33709","33409","33140","32827","32437","31975","31496","31032","30623","30317","30084","29892","29731","29576","29380","29143","28955","28755","28518","28351","28229","28072","27833","27555","27334","27273","27301","27224","27020","26755","26450","26108","25723","25317","24934","24592","24271","23967","23694","23407","23040",
