"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bulgaria","BGR","Population ages 15-64, male","SP.POP.1564.MA.IN","2584411","2616787","2649599","2681499","2711015","2735142","2755052","2773404","2790820","2805377","2815973","2824786","2831783","2838046","2844493","2845025","2846325","2852111","2847665","2845475","2855053","2866500","2879116","2894584","2910039","2913055","2909280","2907617","2906092","2870226","2818861","2793955","2769339","2752534","2749581","2745163","2739321","2732331","2724153","2716836","2710983","2667372","2622089","2615063","2608861","2600429","2587871","2571928","2553902","2533120","2507704","2479923","2451631","2422474","2395456","2370233","2344124","2317554","2290952","2265043","2244048","2223023","2092056","2084784",
"Bahrain","BHR","Population ages 15-64, male","SP.POP.1564.MA.IN","51334","53322","55333","57370","59451","61082","62231","63472","64897","66467","68125","71585","77701","84999","92819","101043","109497","118028","126546","135016","143429","150716","156705","162635","168820","175191","181691","188228","194711","201091","207399","214074","221629","230066","239169","248771","258799","269230","279889","290542","301048","311407","321749","340212","375132","418621","462308","505977","549650","593347","614104","613178","625600","643511","656489","679288","710341","741675","758315","756860","742201","729159","730855","735871",
"Bahamas, The","BHS","Population ages 15-64, male","SP.POP.1564.MA.IN","30315","32151","34106","36160","37987","39599","41249","42887","44552","46290","48311","50396","52161","53752","55397","57242","59328","61593","63939","66295","68610","70532","72086","73620","75070","76469","77925","79444","81049","82683","84520","86498","88411","90274","92054","93881","95780","97654","99493","101328","103213","105070","106786","108513","110323","112155","114005","115891","117777","119606","121686","123909","125895","127797","129665","131468","133224","134915","136485","137912","139063","140004","141066","142219",
"Bosnia and Herzegovina","BIH","Population ages 15-64, male","SP.POP.1564.MA.IN","892286","905122","919896","936755","955223","975126","996581","1019733","1044520","1070311","1096431","1122356","1147903","1173536","1199974","1227341","1255358","1283734","1312261","1340667","1368643","1395782","1421720","1446188","1468947","1489770","1508575","1525335","1539309","1549866","1557239","1560903","1456296","1302113","1219392","1216142","1289455","1355282","1389415","1411196","1428406","1440972","1448292","1447500","1434795","1419482","1410396","1395806","1374063","1350688","1327719","1305409","1282509","1263314","1246701","1227860","1208705","1188914","1168047","1146816","1125437","1103957","1088642","1079526",
"Belarus","BLR","Population ages 15-64, male","SP.POP.1564.MA.IN","2164780","2176742","2199523","2233621","2277109","2324090","2372541","2423429","2475988","2529620","2582672","2635020","2687595","2740191","2791273","2839173","2884563","2929832","2974433","3012686","3046343","3080329","3111279","3138568","3162838","3185604","3207752","3227820","3232596","3236822","3238716","3235688","3238253","3242225","3236964","3228068","3224207","3224607","3230602","3239985","3248058","3254487","3256389","3254430","3251821","3246815","3241697","3240195","3240185","3238376","3230574","3213862","3190879","3166251","3142480","3122177","3102324","3077731","3051966","3026677","2996694","2958677","2920916","2891390",
"Belize","BLZ","Population ages 15-64, male","SP.POP.1564.MA.IN","22728","23129","23532","23953","24407","24900","25435","26024","26658","27344","28079","28770","29374","29943","30526","31304","32269","33260","34271","35320","36488","37795","39106","40325","41425","42450","43488","44559","45664","46776","47887","49019","50255","51619","53154","55017","57240","59753","62430","65152","67860","70553","73244","75940","78669","81475","84373","87355","90410","93536","96918","100515","104099","107716","111358","114947","118471","121908","125244","128519","131297","133677","136125","138658",
"Bermuda","BMU","Population ages 15-64, male","SP.POP.1564.MA.IN","13981","14412","14877","15373","15904","16426","16831","17252","17669","18084","18505","18427","18330","18257","18192","18133","18279","18423","18565","18698","19064","19267","19485","19738","19982","20220","20469","20705","20931","21126","21283","21115","20876","20901","20972","21059","21127","21186","21295","21382","21545","21752","21879","22020","22170","22331","22495","22638","22753","22858","22617","22308","22280","22273","22269","22247","21896","21470","21267","21061","20857","20621","20414","20275",
"Bolivia","BOL","Population ages 15-64, male","SP.POP.1564.MA.IN","982950","1005937","1029618","1053137","1076044","1099254","1123299","1148018","1173504","1199892","1227234","1255570","1284972","1315773","1347888","1380804","1414464","1448922","1484231","1520335","1557038","1594243","1632135","1670878","1710389","1750547","1791524","1833427","1876296","1920080","1964545","2009839","2056136","2102849","2149733","2197414","2246267","2296569","2348493","2402235","2457962","2516201","2577270","2640622","2705831","2772738","2841030","2910124","2979540","3048848","3117943","3187283","3256698","3326737","3398426","3470608","3542244","3613513","3684512","3755228","3822533","3886441","3952219","4023659",
"Brazil","BRA","Population ages 15-64, male","SP.POP.1564.MA.IN","19523905","20035378","20556501","21115648","21723309","22368565","23031377","23714950","24422365","25154892","25915326","26700837","27513365","28355768","29225246","30120328","31039892","31987273","32959521","33944940","34935668","35921416","36896243","37864169","38832109","39808953","40794591","41787500","42794692","43814117","44845012","45888449","46950548","48039543","49156807","50298050","51458836","52636445","53819949","54997235","56159166","57296695","58405034","59475201","60508141","61508635","62476425","63416084","64339408","65255989","66176107","67101577","68010987","68891214","69721347","70486998","71212213","71897856","72524650","73112210","73637478","74046951","74375440","74709454",
"Barbados","BRB","Population ages 15-64, male","SP.POP.1564.MA.IN","62116","62158","62158","62195","62250","62426","62786","63261","63852","64590","65506","66529","67640","68862","70153","71507","72907","74288","75570","76695","77532","78082","78471","78750","78994","79252","79550","79904","80289","80660","81189","81925","82629","83215","83692","84058","84365","84661","84986","85330","85651","86070","86527","86967","87471","87999","88557","89049","89336","89434","89610","89921","90193","90458","90739","91038","91345","91553","91627","91579","91413","91211","91037","90963",
"Brunei Darussalam","BRN","Population ages 15-64, male","SP.POP.1564.MA.IN","23828","24802","25845","27045","28444","30041","31817","33746","35785","37885","39988","41960","43704","45457","47452","49675","52069","54576","57122","59632","62063","64381","66660","69031","71523","74128","76823","79573","82333","85086","87843","90370","92373","94182","96208","98483","101032","103876","106981","110272","113690","117191","120728","124247","127699","131051","134282","137411","140456","143445","146409","149095","151467","153709","155838","157895","159815","161528","163020","164337","165567","166743","167865","168901",
"Bhutan","BTN","Population ages 15-64, male","SP.POP.1564.MA.IN","66379","68542","70923","73376","75800","78180","80515","82961","85523","88218","91017","93891","96846","99889","103023","106253","109590","113038","116602","120230","123875","127533","131211","134978","138862","142829","146886","151040","155261","159548","163460","165867","159371","152070","152386","154584","158046","161550","165604","171722","179678","188157","197079","206352","215949","224207","229926","234729","239652","244515","249266","253914","258388","262635","266719","270703","274622","278925","283599","288171","292553","296668","300521","304184",
"Botswana","BWA","Population ages 15-64, male","SP.POP.1564.MA.IN","121178","122093","123142","124304","125972","125854","123417","120856","118283","115817","114067","115340","121644","131752","143297","155352","167877","180849","194267","208088","221979","235044","245576","254407","263453","272744","282263","292019","302119","312693","323770","335317","348457","363326","378592","394054","409947","426150","442362","458511","474599","490523","505947","520867","535656","550454","565649","581627","598287","615125","631631","647001","661146","675193","689644","705024","721823","739644","757590","775047","792317","808750","825863","844652",
"Central African Republic","CAF","Population ages 15-64, male","SP.POP.1564.MA.IN","460059","466468","473101","479850","487713","497002","506858","517167","527918","538963","549552","559063","567793","576489","585681","595463","604288","611863","619439","627052","634774","642707","650916","659437","668155","676840","685448","693980","704212","719671","738875","759212","781715","806116","831570","853794","875488","900476","926444","953972","982992","1005812","1029124","1055507","1078233","1102893","1123236","1140931","1162354","1185243","1206457","1216685","1213230","1204944","1183351","1174430","1194526","1216400","1239655","1269661","1307266","1335394","1366381","1415011",
"Canada","CAN","Population ages 15-64, male","SP.POP.1564.MA.IN","5304020","5388263","5478097","5581484","5700315","5829791","5981607","6147975","6311017","6460958","6637993","6936429","7097554","7257770","7435228","7615942","7781163","7931234","8066210","8200461","8354536","8493181","8616248","8714641","8806164","8895070","8989998","9104889","9210217","9360430","9485795","9585968","9675122","9762183","9863058","9965746","10077423","10191675","10294502","10406057","10539834","10692528","10842751","10969385","11101850","11238375","11374208","11490350","11609329","11731755","11844463","11927048","12006934","12074746","12132198","12155938","12226674","12316091","12446843","12581050","12657018","12659327","12823302","13138507",
