"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Congo, Rep.","COG","Population ages 65 and above, male","SP.POP.65UP.MA.IN","16284","16813","17401","18022","18636","19228","19801","20353","20894","21432","21967","22506","23039","23563","24089","24564","24977","25398","25816","26191","26553","26973","27577","28410","29389","30376","31238","32002","32620","33029","33396","33882","34539","35350","36107","36782","37447","37703","37939","38531","39727","41019","41802","42859","44152","45500","46932","48303","49383","50840","52431","53575","54648","55699","56904","58268","59836","61597","63520","65645","67864","70108","72828","76113",
"Colombia","COL","Population ages 65 and above, male","SP.POP.65UP.MA.IN","211914","216280","220462","224638","229110","234006","239451","245652","252595","260107","268251","277122","286657","297068","308753","321713","335890","351310","367473","383562","399267","414524","429132","443327","457730","472270","487421","503670","520690","538602","557330","576790","596973","617860","639410","661690","685139","710138","736505","763662","791463","819885","848884","878922","910686","944801","982902","1025475","1071710","1121022","1173312","1229354","1288912","1350709","1417781","1490495","1565609","1647414","1737754","1832519","1917962","1990511","2062321","2152817",
"Comoros","COM","Population ages 65 and above, male","SP.POP.65UP.MA.IN","3163","3240","3320","3406","3496","3590","3689","3781","3889","4035","4206","4405","4630","4883","5164","5469","5796","6142","6506","6864","7143","7333","7526","7741","7932","8096","8237","8366","8484","8594","8733","8935","9132","9301","9488","9680","9879","10082","10287","10514","10716","10827","10869","10969","11328","11872","12406","12891","13275","13537","13694","13796","13893","14024","14215","14463","14731","15107","15571","15990","16251","16331","16433","16743",
"Cabo Verde","CPV","Population ages 65 and above, male","SP.POP.65UP.MA.IN","2699","2831","3009","3245","3509","3806","4137","4494","4873","5268","5615","5880","6104","6304","6488","6660","6815","6951","7072","7177","7282","7390","7478","7539","7573","7600","7634","7676","7727","7793","7847","7895","7971","8062","8147","8221","8289","8352","8405","8445","8637","9017","9438","9888","10343","10799","11249","11683","12108","12540","12448","11885","11435","11061","10741","10468","10309","10322","10425","10582","10773","10987","11332","11918",
"Costa Rica","CRI","Population ages 65 and above, male","SP.POP.65UP.MA.IN","20078","20907","21753","22631","23541","24482","25513","26650","27865","29130","30444","31848","33319","34897","36570","38311","40181","42176","44287","46406","48457","50603","52876","55217","57614","59997","62457","65052","67772","70596","73573","76768","80101","83523","86975","90381","93874","97503","101198","105002","109033","113308","117830","122601","127528","132614","137818","143175","148724","154580","160890","167851","175423","183376","191379","199201","207261","215749","224464","233383","242686","251072","258855","269209",
"Caribbean small states","CSS","Population ages 65 and above, male","SP.POP.65UP.MA.IN","26352","27395","28965","31086","32855","33984","34944","35944","37009","38133","39313","40552","41716","42843","44039","45303","46646","48015","49360","50652","51686","52492","53261","53970","54622","55228","55743","56107","56385","56633","56854","57100","57355","57636","58118","58931","60005","61264","62744","64422","66257","68018","69733","71557","73027","74168","75381","76734","78293","80002","81755","83476","85336","87396","89416","91706","94393","97201","100591","104036","107372","110535","113569","117635",
"Cuba","CUB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","171879","175136","178900","183379","188818","195149","202329","210407","218954","227387","235637","245814","257908","270231","283156","296723","310824","325315","339921","354351","368365","378018","383793","390148","397110","404306","411365","418100","424541","430934","437292","443187","448374","453006","459424","468035","477001","486384","496312","506818","518342","531928","547211","561740","575418","590100","605210","621198","638387","655259","671878","689070","705506","720322","733736","746077","757319","768139","779854","791302","800292","797067","795907","807707",
"Curacao","CUW","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1987","2015","2071","2138","2211","2286","2362","2452","2570","2699","2832","2977","3082","3183","3338","3466","3562","3636","3659","3680","3706","3739","3807","3878","3952","4034","4095","4128","4132","4133","4158","4204","4277","4398","4538","4701","4904","5105","5214","5239","5226","5191","5298","5483","5648","5877","6131","6368","6587","6800","7096","7418","7678","7958","8261","8569","8858","9084","8672","8432","8633","8609","8623","8683",
"Cayman Islands","CYM","Population ages 65 and above, male","SP.POP.65UP.MA.IN","222","219","217","218","221","224","226","230","242","258","272","283","292","302","316","331","347","371","398","429","452","468","485","504","527","551","578","604","630","654","679","704","727","753","776","799","821","854","898","943","978","1005","1037","1073","1110","1144","1180","1218","1258","1310","1372","1437","1516","1608","1705","1815","1929","2044","2161","2281","2405","2517","2627","2755",
"Cyprus","CYP","Population ages 65 and above, male","SP.POP.65UP.MA.IN","16687","17123","17648","18304","19028","19836","20754","21758","22824","23949","25140","26394","27703","28352","27974","27607","27789","28187","28626","29108","29626","30160","30605","30888","31130","31418","31777","32231","32775","33411","34145","34965","35767","36301","36681","37184","37816","38590","39502","40526","41653","42834","43913","44996","46300","47820","49550","51493","53619","55883","58275","60434","62376","64467","66682","68970","71223","73441","75732","78060","80369","82668","85248","88176",
"Czechia","CZE","Population ages 65 and above, male","SP.POP.65UP.MA.IN","357954","364503","372887","382058","393371","406435","420517","434659","447688","458345","464063","470258","481276","492476","502982","513105","522030","529644","536439","540670","534995","518703","498745","477571","463153","460960","465316","471930","479561","485921","488743","491160","495634","501064","507667","514789","522094","529058","534864","539402","541752","542667","544178","546609","551074","559850","572385","588444","609712","632372","651671","675868","707490","737729","764958","790622","815896","841069","865151","887806","907063","903818","925884","950056",
