"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bahamas, The","BHS","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2486","2533","2590","2665","2772","2900","3035","3186","3348","3519","3672","3810","3965","4135","4312","4496","4687","4884","5083","5277","5475","5693","5931","6177","6419","6638","6833","7010","7154","7253","7369","7531","7683","7843","8063","8302","8504","8716","8947","9205","9540","9893","10213","10537","10901","11298","11709","12126","12527","12928","13323","13722","14192","14718","15267","15846","16434","17039","17742","18548","19384","20172","21082","22206",
"Bosnia and Herzegovina","BIH","Population ages 65 and above, female","SP.POP.65UP.FE.IN","69281","71952","75380","79337","83422","87463","91398","95159","98859","102716","106883","111405","116332","121572","127007","132545","138031","143396","148381","152538","155859","158333","159998","161448","163289","165663","169224","174378","180722","187897","196062","205047","210274","213185","219690","229351","240548","251679","262034","273081","284439","295483","305460","314699","323676","330710","336184","336792","332379","326929","321065","315517","311596","310931","311907","313126","315552","319398","324578","330067","334535","336756","337803","340479",
"Belarus","BLR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","387604","393467","399757","407676","419185","434045","450704","468323","485727","503185","520978","538202","554997","572252","590557","609493","627918","645774","662257","675032","682046","682540","679043","675410","673922","674942","678979","689309","704621","723229","742567","763178","786033","809058","831941","854357","874168","890351","902235","910257","919773","933124","946213","958143","967433","971414","969564","961016","947342","931823","917584","911219","914614","924751","938726","952542","965620","978432","993437","1012986","1028641","1036902","1048913","1069193",
"Belize","BLZ","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1977","2049","2112","2184","2261","2336","2411","2485","2557","2622","2685","2741","2790","2848","2905","2966","3032","3101","3166","3218","3264","3317","3379","3431","3480","3536","3590","3644","3703","3777","3864","3932","3925","3881","3890","3963","4095","4261","4423","4587","4762","4917","5036","5148","5267","5393","5533","5682","5844","6032","6226","6423","6652","6916","7211","7531","7878","8248","8639","9058","9533","10023","10498","11049",
"Bermuda","BMU","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1462","1501","1528","1556","1596","1644","1686","1736","1799","1880","1977","2031","2079","2119","2153","2192","2269","2353","2435","2515","2619","2684","2736","2785","2833","2873","2914","2966","3024","3081","3128","3142","3161","3219","3289","3361","3434","3523","3635","3747","3863","3990","4110","4230","4349","4464","4549","4638","4770","4905","5001","5138","5355","5590","5797","5976","6117","6292","6526","6757","7011","7267","7531","7820",
"Bolivia","BOL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","101529","101538","101503","101486","101565","101801","102214","102795","103554","104503","105646","106993","108533","110257","112173","114256","116521","118983","121516","123950","126251","128402","130411","132365","134385","136589","138949","141452","144199","147304","150785","154683","158997","168095","181315","193469","204540","214641","223866","232238","239881","243933","244896","246255","248008","250242","253001","256287","260204","264869","270226","276159","282395","288371","293980","299787","306080","312757","319817","327369","332880","335109","337411","344899",
"Brazil","BRA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","997288","1040618","1089508","1142032","1197308","1255608","1316927","1380057","1444594","1510578","1577944","1647101","1718751","1793689","1872265","1954568","2040037","2127720","2217426","2309227","2402473","2496538","2591930","2689787","2791497","2898330","3012174","3135461","3268645","3410716","3561032","3718013","3882030","4053708","4231399","4413223","4599697","4791364","4985644","5180586","5378613","5585021","5797637","6013409","6236793","6468583","6705767","6945978","7187711","7431409","7679269","7937019","8212371","8512943","8853008","9225224","9613676","10017936","10437447","10874854","11314230","11739169","12166459","12648539",
"Barbados","BRB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","9308","9408","9524","9690","9926","10217","10579","11010","11441","11835","12169","12448","12678","12869","13076","13317","13579","13866","14166","14452","14779","15131","15434","15717","15992","16226","16435","16634","16806","16964","17042","17062","17105","17174","17279","17369","17398","17425","17473","17522","17601","17707","17834","17926","17955","17980","18025","18115","18306","18604","18867","19088","19404","19810","20299","20841","21386","21979","22647","23385","24226","25136","26052","26929",
"Brunei Darussalam","BRN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1203","1271","1346","1409","1464","1505","1531","1552","1571","1590","1610","1649","1729","1832","1938","2041","2139","2230","2319","2408","2494","2571","2631","2689","2764","2850","2929","2999","3070","3157","3253","3344","3428","3520","3647","3807","3994","4199","4410","4631","4854","5075","5298","5527","5775","6042","6309","6556","6766","6936","7095","7341","7701","8132","8625","9169","9773","10444","11183","11992","12858","13768","14723","15733",
"Bhutan","BTN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2699","2761","2830","2904","2983","3069","3162","3262","3371","3488","3615","3748","3885","4030","4188","4354","4530","4715","4911","5119","5340","5570","5810","6066","6334","6611","6905","7216","7541","7882","8238","8541","8386","8187","8378","8675","9050","9437","9855","10465","11250","12058","12887","13723","14553","15262","15789","16262","16761","17288","17839","18406","18983","19573","20188","20844","21550","22040","22356","22802","23380","24053","24769","25498",
"Botswana","BWA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","13555","13633","13654","13651","13681","13769","13925","14152","14411","14637","14809","14924","14994","15052","15119","15202","15305","15425","15583","15812","16134","16531","17000","17549","18214","19001","19915","20965","22092","23218","24302","25328","26259","27119","27971","28841","29725","30620","31497","32319","33062","33747","34394","35005","35571","36093","36594","37113","37681","38306","38998","39731","40451","41201","42259","43673","45301","47171","49204","51374","53645","55421","57438","60233",
"Central African Republic","CAF","Population ages 65 and above, female","SP.POP.65UP.FE.IN","38645","38941","39373","39901","40461","41023","41593","42178","42788","43457","44184","44944","45748","46608","47529","48487","49142","49389","49448","49286","48880","48230","47329","46225","44986","43652","42236","40740","39365","38502","38041","37694","37493","37436","37471","37430","37419","37567","37777","38055","38373","38488","38696","39132","39560","40122","40694","41376","42324","43471","44729","45876","46879","47933","49154","51192","54103","57247","60566","64109","67635","70602","73573","77123",
"Canada","CAN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","707088","726971","746051","765236","785992","808782","833576","858989","884911","911051","936322","975442","1001744","1031760","1063331","1098309","1137110","1178232","1220975","1265303","1312924","1357599","1399003","1438110","1481408","1531217","1584744","1641682","1694630","1752864","1806418","1854345","1899849","1941894","1981659","2020147","2058919","2096838","2130942","2161137","2192221","2227196","2261911","2294886","2331046","2370774","2418312","2470539","2529874","2594099","2663398","2741553","2835289","2932758","3028506","3117297","3219190","3326071","3443801","3570225","3697276","3815755","3986493","4207802",
"Central Europe and the Baltics","CEB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","3999637","4141342","4283640","4432851","4597055","4775376","4963078","5152871","5333589","5499458","5651330","5803328","5978578","6158418","6339052","6524406","6697354","6870350","7029785","7161963","7217411","7175745","7087071","6971819","6937173","7001921","7102969","7239824","7393672","7529367","7661693","7782497","7894643","8036572","8186863","8340837","8488487","8626720","8759490","8886817","8978381","9052990","9142101","9249659","9352259","9447128","9533402","9597670","9653660","9729911","9784263","9889273","10055691","10251112","10472924","10700267","10929794","11159308","11390914","11636789","11866628","11985606","11727651","11707605",
"Switzerland","CHE","Population ages 65 and above, female","SP.POP.65UP.FE.IN","318332","327224","336426","344782","354342","364533","374909","386173","396770","406794","417504","428263","439251","451160","463310","475067","485885","496541","506879","516260","523510","528212","532002","535197","539181","546108","555118","563773","572004","580225","588069","595474","602237","608821","615859","622778","628894","634438","640507","646929","653325","660850","667323","672428","679152","687104","696776","708574","722072","736649","750250","765637","781886","797578","813399","828059","841441","854548","867556","880844","893377","909102","929426","950573",
"Channel Islands","CHI","Population ages 65 and above, female","SP.POP.65UP.FE.IN","9083","9068","9139","9238","9352","9515","9696","9862","10012","10159","10325","10496","10641","10776","10915","11043","11186","11346","11498","11613","11678","11708","11718","11730","11787","11913","12041","12144","12264","12361","12407","12404","12366","12351","12335","12307","12289","12267","12254","12260","12264","12309","12407","12516","12646","12784","12893","12970","13085","13264","13445","13713","14075","14396","14688","14972","15324","15604","15612","15426","15286","15359","15622","16014",
"Chile","CHL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","145494","152314","159424","166102","172510","179192","185684","192306","199072","205709","212565","219812","227349","235643","244567","254444","264340","274555","285921","296700","307198","318607","330748","342791","355281","369014","383771","399664","416941","436278","457575","481113","506828","533065","559091","584348","608504","632539","655850","678249","701994","726421","750653","774486","797783","821420","845145","868102","891917","917934","944338","972189","1002387","1035481","1071159","1108999","1149781","1192041","1235494","1280530","1323816","1365255","1407807","1454561",
"China","CHN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","15310876","14895206","14834838","14959837","15060355","15286843","15700715","16181468","16720419","17300250","17915374","18565595","19183128","19831926","20553437","21259779","21894752","22512707","23246275","24081836","24893324","25677809","26480263","27269115","28066923","28937570","29849693","30756521","31721495","32799289","33878159","34857205","35889682","37118470","38420807","39771977","41143043","42542656","44142720","45795305","47394480","49028275","50628009","52131780","53518054","54910369","56392655","57827944","59169412","60533852","62058970","63882061","66031392","68498933","71338403","74770932","78638804","83009881","87652109","92265013","97071511","101600295","106131051","110299060",
"Cote d'Ivoire","CIV","Population ages 65 and above, female","SP.POP.65UP.FE.IN","45348","46974","48688","50481","52338","54263","56261","58346","60511","62788","65231","67843","70646","73605","76723","80047","85539","92201","97249","101120","104296","107231","110126","113061","116214","119686","123435","128996","139562","150180","157540","164817","171980","179046","185988","192783","199412","205753","210687","213310","214769","216184","218989","223098","227057","230859","234652","238704","243139","247982","253129","256106","257101","258481","261740","267543","274793","283462","293393","304439","315532","325419","335257","347176",
"Cameroon","CMR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","107995","110778","113651","116607","119608","122676","125827","129055","132384","135826","139362","143014","146807","150701","154655","158663","162654","166603","170730","174999","179728","184707","188586","192252","196825","201710","206640","211657","216747","221848","227035","232248","237495","242792","248021","253186","258319","263432","268549","273679","278802","284001","289382","294832","300147","305161","310049","315125","320450","326025","331897","338009","344190","349912","355087","360764","367113","373593","380649","388593","395859","401546","407381","415387",
"Congo, Dem. Rep.","COD","Population ages 65 and above, female","SP.POP.65UP.FE.IN","278304","282695","287104","291846","296962","302612","309179","316530","324380","332512","340844","349356","358044","366977","376389","386181","396199","406206","417507","430139","441794","452868","464321","475888","488445","501602","515103","529759","545595","562626","581202","601196","621189","643046","672334","699874","717548","735034","758516","785592","813337","842182","871958","901945","932658","964868","998645","1033414","1068911","1105652","1143772","1183343","1222891","1261230","1298491","1334440","1371017","1408931","1448317","1490220","1529100","1561256","1592529","1629974",
"Congo, Rep.","COG","Population ages 65 and above, female","SP.POP.65UP.FE.IN","21265","21903","22569","23257","23959","24668","25386","26108","26844","27601","28372","29158","29957","30772","31608","32294","32798","33281","33734","34083","34347","34633","35205","36206","37744","39601","41359","43062","44557","45630","46525","47514","48720","50102","51305","52296","53201","53809","54269","54740","55607","56592","57263","58129","59050","59914","60805","61671","62352","63354","64585","65662","66807","68024","69421","70982","72821","74983","77418","80142","83109","86163","89620","93614",
